Race,Race-noRace,Gender,Gender-noRace,Education,Education-noRace,Years,Years-noRace,Warnings,Warnings-noRace,Bonus,Bonus-noRace
B,W,F,M,Bachelors,Bachelors,<3,3-6,medium,high,no,yes
W,W,M,F,Bachelors,Bachelors,3-6,<3,low,low,yes,yes
W,W,M,M,Masters,Bachelors,>6,<3,low,high,no,yes
B,W,F,F,Highschool,Bachelors,3-6,>6,medium,low,yes,yes
W,W,F,M,Bachelors,Bachelors,3-6,<3,low,high,yes,no
B,W,F,M,Masters,Masters,3-6,>6,medium,low,yes,yes
W,W,F,M,Masters,Masters,3-6,>6,medium,high,yes,yes
B,W,M,F,Highschool,Bachelors,>6,>6,low,medium,no,yes
B,W,M,F,Highschool,Bachelors,>6,>6,low,high,no,no
W,W,M,F,Masters,Bachelors,<3,<3,medium,low,yes,yes
B,W,F,F,Highschool,Bachelors,<3,<3,medium,low,no,no
W,W,M,F,Masters,Bachelors,<3,<3,medium,medium,yes,yes
B,W,F,F,Bachelors,Bachelors,3-6,<3,medium,low,yes,no
W,W,M,F,Masters,Highschool,<3,3-6,low,low,no,no
B,W,M,M,Bachelors,Bachelors,3-6,>6,medium,high,yes,yes
W,W,F,F,Masters,Masters,>6,>6,high,medium,no,no
W,W,M,F,Bachelors,Highschool,>6,>6,medium,medium,yes,yes
W,W,M,M,Highschool,Masters,<3,>6,medium,medium,no,yes
B,W,M,M,Masters,Highschool,3-6,>6,high,high,yes,yes
B,W,F,M,Bachelors,Masters,>6,3-6,high,low,no,no
B,W,M,F,Highschool,Bachelors,<3,3-6,medium,low,no,yes
B,W,M,M,Bachelors,Highschool,3-6,>6,high,low,yes,no
W,W,F,M,Masters,Highschool,<3,>6,high,high,yes,no
W,W,M,F,Masters,Masters,<3,<3,low,high,yes,no
B,W,F,M,Highschool,Bachelors,<3,>6,high,high,no,yes
B,W,M,F,Highschool,Highschool,<3,>6,low,low,no,yes
W,W,M,M,Masters,Masters,<3,>6,low,low,no,yes
B,W,M,F,Highschool,Masters,>6,>6,low,medium,yes,yes
W,W,M,F,Masters,Bachelors,>6,<3,medium,low,yes,no
B,W,F,F,Highschool,Bachelors,3-6,<3,medium,high,no,yes
B,W,M,F,Highschool,Bachelors,<3,<3,medium,medium,yes,yes
W,W,M,M,Masters,Bachelors,>6,>6,low,medium,no,no
W,W,M,F,Masters,Highschool,3-6,3-6,low,high,yes,no
W,W,M,F,Bachelors,Bachelors,<3,>6,high,medium,yes,no
W,W,F,F,Masters,Highschool,3-6,3-6,low,low,yes,no
B,W,M,M,Bachelors,Bachelors,<3,>6,medium,low,no,yes
W,W,M,F,Masters,Bachelors,3-6,<3,low,medium,yes,yes
W,W,M,M,Masters,Masters,3-6,<3,low,medium,yes,no
W,W,M,F,Masters,Bachelors,3-6,<3,low,low,yes,no
B,W,M,M,Bachelors,Bachelors,3-6,3-6,low,medium,no,yes
W,W,M,M,Highschool,Masters,<3,>6,high,low,no,yes
W,W,F,F,Masters,Masters,>6,>6,high,high,yes,no
B,W,F,M,Bachelors,Bachelors,3-6,<3,high,high,no,no
W,W,F,F,Bachelors,Bachelors,>6,3-6,high,low,yes,yes
W,W,M,M,Masters,Masters,<3,3-6,high,high,yes,no
B,W,M,M,Masters,Bachelors,<3,3-6,high,medium,yes,no
B,W,M,M,Highschool,Masters,>6,<3,high,low,no,no
W,W,F,F,Highschool,Masters,<3,>6,high,medium,yes,no
W,W,M,M,Masters,Bachelors,<3,<3,high,low,yes,no
W,W,M,M,Masters,Bachelors,3-6,3-6,low,medium,yes,yes
B,W,F,M,Bachelors,Highschool,3-6,>6,high,low,yes,no
W,W,M,M,Bachelors,Highschool,<3,<3,high,low,no,no
B,W,F,F,Bachelors,Masters,3-6,3-6,high,medium,yes,yes
B,W,M,F,Highschool,Bachelors,>6,3-6,high,medium,no,yes
B,W,M,M,Highschool,Bachelors,>6,3-6,low,high,no,yes
W,W,F,F,Bachelors,Bachelors,3-6,3-6,low,high,yes,no
B,W,F,M,Bachelors,Bachelors,<3,>6,medium,low,no,yes
W,W,F,F,Masters,Highschool,<3,<3,low,high,yes,yes
W,W,M,F,Masters,Masters,<3,<3,high,low,yes,yes
W,W,M,M,Masters,Masters,>6,<3,medium,low,no,no
W,W,F,M,Masters,Highschool,>6,<3,medium,low,no,no
B,W,M,M,Bachelors,Highschool,3-6,3-6,high,medium,yes,yes
B,W,F,M,Highschool,Masters,>6,>6,low,medium,yes,yes
W,W,F,F,Highschool,Masters,3-6,>6,medium,medium,no,yes
W,W,F,F,Highschool,Bachelors,<3,3-6,medium,low,no,no
W,W,F,M,Masters,Bachelors,3-6,<3,medium,medium,yes,yes
B,W,M,F,Highschool,Highschool,<3,3-6,low,medium,no,yes
B,W,M,F,Highschool,Highschool,>6,3-6,low,low,no,no
B,W,F,M,Highschool,Bachelors,3-6,>6,high,medium,yes,yes
B,W,M,F,Bachelors,Highschool,3-6,<3,medium,medium,yes,no
B,W,F,M,Bachelors,Highschool,<3,>6,medium,low,no,yes
B,W,M,M,Highschool,Bachelors,3-6,<3,high,low,yes,yes
B,W,F,M,Highschool,Masters,>6,3-6,low,low,no,yes
W,W,F,M,Masters,Bachelors,>6,>6,low,high,yes,no
B,W,F,M,Highschool,Masters,<3,>6,medium,high,no,no
B,W,F,M,Highschool,Bachelors,>6,>6,low,high,yes,yes
B,W,F,M,Bachelors,Bachelors,3-6,>6,high,low,no,no
W,W,M,F,Bachelors,Masters,>6,3-6,medium,low,no,yes
B,W,M,F,Highschool,Masters,>6,>6,high,low,no,no
W,W,F,F,Masters,Bachelors,<3,<3,medium,high,yes,no
B,W,M,M,Highschool,Highschool,3-6,<3,high,high,no,no
W,W,M,F,Bachelors,Bachelors,3-6,>6,high,low,no,yes
B,W,M,M,Highschool,Bachelors,3-6,3-6,low,low,yes,no
W,W,F,F,Bachelors,Bachelors,<3,3-6,medium,low,yes,yes
W,W,M,F,Masters,Bachelors,3-6,3-6,high,high,yes,yes
W,W,F,F,Masters,Highschool,>6,<3,low,high,yes,yes
W,W,M,M,Bachelors,Highschool,>6,3-6,low,medium,no,no
B,W,M,F,Highschool,Highschool,3-6,<3,low,high,no,no
B,W,F,F,Bachelors,Masters,<3,>6,low,low,yes,no
W,W,M,M,Bachelors,Bachelors,3-6,>6,medium,medium,yes,yes
B,W,M,F,Masters,Bachelors,>6,>6,high,low,no,no
W,W,M,M,Bachelors,Bachelors,>6,<3,high,low,yes,yes
W,W,M,M,Masters,Bachelors,>6,<3,low,low,yes,yes
B,W,F,F,Highschool,Bachelors,3-6,>6,medium,high,no,no
W,W,F,F,Highschool,Masters,<3,<3,high,high,no,yes
W,W,M,F,Masters,Bachelors,<3,>6,low,high,yes,no
W,W,M,M,Masters,Bachelors,>6,>6,high,high,yes,yes
W,W,M,F,Masters,Bachelors,>6,>6,low,low,yes,yes
W,W,F,M,Masters,Masters,>6,<3,low,low,yes,yes
W,W,F,F,Masters,Masters,3-6,<3,medium,low,no,no
B,W,F,M,Highschool,Bachelors,3-6,3-6,high,medium,no,no
W,W,M,F,Masters,Highschool,<3,>6,low,low,yes,yes
W,W,F,F,Masters,Masters,<3,>6,medium,medium,yes,yes
W,W,M,F,Bachelors,Bachelors,3-6,<3,medium,low,yes,yes
W,W,F,M,Masters,Bachelors,3-6,3-6,low,high,yes,no
W,W,M,M,Masters,Masters,3-6,3-6,high,medium,yes,yes
W,W,F,F,Masters,Masters,<3,3-6,low,medium,yes,yes
W,W,M,M,Masters,Highschool,>6,>6,medium,high,yes,yes
W,W,M,M,Masters,Bachelors,<3,3-6,medium,high,yes,yes
W,W,F,M,Bachelors,Bachelors,3-6,<3,medium,high,yes,yes
B,W,F,F,Highschool,Bachelors,>6,>6,medium,high,no,yes
B,W,M,M,Highschool,Bachelors,>6,3-6,medium,medium,no,yes
W,W,F,M,Masters,Highschool,<3,3-6,medium,medium,no,no
W,W,M,F,Masters,Highschool,3-6,3-6,medium,high,yes,yes
W,W,M,F,Masters,Bachelors,<3,>6,high,high,no,no
B,W,M,F,Bachelors,Bachelors,>6,3-6,medium,high,no,no
W,W,M,F,Masters,Bachelors,>6,>6,high,high,yes,yes
B,W,M,M,Highschool,Masters,>6,3-6,low,medium,no,yes
W,W,F,M,Masters,Bachelors,3-6,3-6,medium,medium,yes,no
W,W,F,F,Bachelors,Bachelors,<3,3-6,low,medium,no,yes
B,W,M,F,Masters,Bachelors,<3,<3,high,high,no,no
B,W,M,F,Highschool,Masters,3-6,3-6,high,high,yes,yes
W,W,F,F,Masters,Bachelors,<3,3-6,low,medium,yes,yes
W,W,F,F,Bachelors,Highschool,3-6,3-6,high,medium,no,no
W,W,F,F,Masters,Masters,>6,<3,low,high,yes,no
B,W,F,F,Bachelors,Bachelors,3-6,>6,medium,low,no,yes
B,W,M,M,Highschool,Highschool,3-6,3-6,medium,low,no,no
W,W,M,F,Masters,Bachelors,3-6,<3,medium,low,yes,no
W,W,F,F,Masters,Highschool,>6,<3,medium,low,yes,yes
W,W,M,M,Masters,Bachelors,<3,3-6,medium,high,yes,yes
B,W,F,F,Highschool,Bachelors,>6,3-6,high,high,yes,no
B,W,F,F,Highschool,Bachelors,<3,>6,low,medium,yes,yes
W,W,M,M,Masters,Masters,3-6,3-6,low,medium,yes,yes
B,W,M,F,Bachelors,Highschool,>6,3-6,medium,medium,yes,yes
B,W,F,F,Highschool,Masters,<3,<3,high,medium,yes,yes
W,W,F,M,Masters,Highschool,<3,3-6,low,medium,yes,no
W,W,M,F,Highschool,Bachelors,<3,>6,medium,high,yes,yes
W,W,M,F,Masters,Masters,<3,<3,high,low,yes,yes
W,W,F,F,Bachelors,Highschool,>6,>6,medium,medium,no,no
W,W,F,M,Bachelors,Masters,<3,>6,medium,high,yes,yes
B,W,F,F,Highschool,Bachelors,3-6,<3,high,low,no,yes
W,W,F,M,Masters,Highschool,<3,<3,low,high,yes,no
W,W,F,F,Masters,Bachelors,3-6,3-6,high,high,yes,no
B,W,M,F,Highschool,Masters,>6,>6,high,high,no,yes
W,W,M,F,Masters,Bachelors,>6,>6,low,low,no,yes
B,W,F,M,Bachelors,Bachelors,<3,3-6,medium,low,yes,yes
W,W,F,M,Bachelors,Bachelors,<3,3-6,high,medium,yes,yes
B,W,F,F,Bachelors,Highschool,3-6,3-6,medium,medium,no,no
B,W,F,M,Highschool,Highschool,<3,>6,low,high,yes,yes
W,W,M,M,Bachelors,Bachelors,>6,<3,medium,high,no,no
B,W,M,F,Masters,Bachelors,3-6,>6,low,high,yes,no
W,W,M,F,Masters,Masters,>6,3-6,medium,low,yes,yes
B,W,M,M,Highschool,Bachelors,<3,>6,medium,high,yes,yes
B,W,M,M,Masters,Highschool,>6,<3,high,low,yes,no
B,W,M,M,Highschool,Bachelors,>6,>6,medium,medium,yes,yes
W,W,M,M,Masters,Highschool,<3,3-6,high,low,no,yes
W,W,M,M,Masters,Masters,<3,<3,low,medium,yes,yes
B,W,F,F,Masters,Highschool,<3,3-6,high,high,yes,yes
B,W,M,F,Masters,Bachelors,>6,3-6,high,low,no,yes
W,W,M,M,Masters,Masters,<3,<3,medium,high,yes,yes
W,W,F,F,Masters,Bachelors,3-6,>6,medium,low,yes,yes
W,W,M,F,Masters,Highschool,3-6,3-6,high,high,yes,yes
B,W,M,M,Highschool,Bachelors,>6,<3,medium,medium,no,no
W,W,F,F,Masters,Highschool,3-6,<3,high,high,yes,no
B,W,M,F,Highschool,Masters,<3,>6,low,low,no,yes
B,W,M,F,Highschool,Bachelors,3-6,<3,low,high,no,no
W,W,F,F,Masters,Highschool,3-6,3-6,medium,low,yes,yes
W,W,F,F,Masters,Bachelors,<3,<3,low,high,yes,yes
B,W,M,F,Highschool,Masters,<3,3-6,medium,high,no,no
B,W,M,M,Highschool,Highschool,>6,3-6,low,high,no,yes
B,W,F,F,Highschool,Bachelors,3-6,<3,low,high,no,yes
W,W,M,M,Masters,Bachelors,<3,<3,low,low,yes,yes
W,W,F,M,Masters,Highschool,3-6,<3,high,medium,yes,no
W,W,M,M,Masters,Highschool,<3,<3,high,medium,yes,yes
W,W,M,M,Masters,Bachelors,>6,3-6,low,low,yes,no
W,W,M,M,Highschool,Bachelors,>6,3-6,low,high,no,yes
B,W,F,M,Bachelors,Bachelors,3-6,>6,low,high,no,no
W,W,F,M,Masters,Masters,>6,<3,low,low,no,yes
B,W,M,F,Highschool,Bachelors,3-6,3-6,low,low,no,no
W,W,F,F,Masters,Bachelors,>6,3-6,high,low,yes,no
W,W,M,M,Masters,Masters,>6,<3,low,low,yes,no
W,W,M,F,Masters,Bachelors,<3,>6,low,low,yes,yes
B,W,F,M,Bachelors,Bachelors,<3,>6,high,low,yes,yes
W,W,F,M,Masters,Highschool,<3,3-6,medium,high,yes,no
W,W,M,M,Masters,Highschool,>6,3-6,low,high,yes,no
B,W,M,M,Highschool,Bachelors,>6,3-6,low,high,no,no
W,W,M,M,Bachelors,Bachelors,<3,3-6,medium,medium,no,yes
B,W,F,F,Highschool,Bachelors,<3,3-6,high,high,no,no
B,W,M,M,Bachelors,Masters,<3,<3,high,high,yes,yes
W,W,F,F,Masters,Highschool,3-6,<3,high,low,yes,yes
W,W,M,F,Masters,Bachelors,<3,<3,high,medium,no,yes
W,W,M,M,Masters,Bachelors,>6,>6,medium,high,yes,no
B,W,M,M,Highschool,Highschool,>6,<3,high,low,no,yes
B,W,M,M,Highschool,Masters,<3,>6,medium,low,no,yes
W,W,M,M,Bachelors,Highschool,3-6,<3,low,medium,yes,yes
W,W,M,F,Masters,Highschool,>6,3-6,high,low,yes,yes
B,W,M,M,Highschool,Bachelors,>6,<3,high,low,no,no
W,W,F,F,Bachelors,Masters,3-6,>6,high,low,no,yes
B,W,F,F,Bachelors,Highschool,<3,3-6,medium,high,yes,yes
B,W,F,M,Highschool,Masters,<3,>6,medium,high,no,yes
B,W,F,M,Bachelors,Bachelors,3-6,<3,high,high,no,yes
W,W,M,F,Bachelors,Highschool,<3,<3,medium,medium,yes,yes
B,W,F,F,Highschool,Bachelors,3-6,>6,medium,low,no,yes
B,W,F,F,Highschool,Bachelors,>6,>6,medium,high,no,yes
B,W,M,F,Bachelors,Highschool,<3,3-6,medium,low,yes,yes
B,W,F,M,Highschool,Bachelors,>6,3-6,low,low,no,yes
W,W,F,M,Masters,Bachelors,<3,3-6,medium,medium,yes,no
B,W,M,F,Bachelors,Masters,3-6,<3,low,medium,yes,yes
B,W,F,F,Bachelors,Bachelors,<3,>6,high,low,no,no
B,W,M,F,Highschool,Masters,3-6,3-6,medium,high,no,no
W,W,M,M,Bachelors,Bachelors,<3,<3,medium,high,no,yes
W,W,M,F,Highschool,Highschool,<3,<3,medium,high,no,no
W,W,F,M,Masters,Highschool,>6,>6,high,medium,yes,no
W,W,M,F,Masters,Highschool,>6,3-6,medium,medium,yes,yes
W,W,M,M,Masters,Masters,<3,<3,medium,high,yes,yes
W,W,M,F,Masters,Bachelors,>6,<3,medium,high,yes,yes
W,W,M,F,Masters,Masters,<3,3-6,high,high,yes,yes
B,W,M,F,Highschool,Highschool,>6,3-6,low,medium,yes,no
W,W,F,M,Masters,Highschool,>6,<3,low,high,no,no
B,W,F,F,Highschool,Highschool,3-6,3-6,medium,low,no,no
W,W,F,M,Bachelors,Bachelors,3-6,3-6,high,medium,yes,yes
B,W,F,F,Highschool,Bachelors,>6,>6,high,medium,no,yes
B,W,F,M,Bachelors,Bachelors,3-6,>6,high,medium,no,yes
B,W,M,F,Highschool,Bachelors,>6,<3,low,high,no,no
B,W,M,F,Bachelors,Highschool,<3,>6,medium,high,yes,yes
W,W,M,F,Highschool,Masters,<3,<3,high,low,no,yes
W,W,M,M,Masters,Bachelors,3-6,<3,high,medium,yes,no
W,W,M,F,Masters,Bachelors,>6,>6,low,high,yes,no
B,W,F,F,Highschool,Bachelors,3-6,<3,low,low,no,no
B,W,F,M,Bachelors,Bachelors,3-6,<3,low,high,no,yes
W,W,M,M,Masters,Masters,>6,<3,medium,high,yes,yes
B,W,M,F,Highschool,Masters,>6,<3,low,medium,no,yes
W,W,F,M,Masters,Highschool,3-6,3-6,low,low,yes,no
W,W,M,F,Masters,Bachelors,>6,>6,medium,medium,no,yes
W,W,F,M,Bachelors,Bachelors,<3,>6,medium,medium,no,yes
B,W,M,F,Highschool,Bachelors,<3,>6,low,low,no,no
B,W,M,M,Highschool,Highschool,>6,<3,high,medium,no,no
B,W,M,M,Highschool,Bachelors,3-6,>6,low,medium,no,yes
W,W,F,F,Masters,Masters,3-6,>6,high,medium,yes,no
B,W,F,F,Bachelors,Masters,>6,>6,low,low,no,yes
B,W,M,F,Bachelors,Masters,3-6,3-6,low,high,yes,yes
B,W,M,M,Highschool,Bachelors,3-6,>6,medium,high,yes,yes
W,W,M,F,Highschool,Masters,3-6,>6,medium,high,no,yes
W,W,F,F,Masters,Highschool,3-6,3-6,medium,medium,yes,yes
W,W,F,F,Bachelors,Bachelors,>6,<3,low,medium,no,no
W,W,M,F,Masters,Highschool,3-6,<3,medium,medium,yes,no
B,W,M,M,Highschool,Masters,<3,<3,medium,low,no,yes
B,W,M,F,Highschool,Bachelors,>6,>6,medium,medium,no,no
B,W,M,F,Highschool,Bachelors,3-6,<3,high,medium,no,yes
W,W,M,M,Masters,Bachelors,>6,<3,high,high,yes,yes
W,W,F,M,Bachelors,Bachelors,3-6,>6,medium,low,no,yes
W,W,M,M,Masters,Highschool,3-6,3-6,medium,medium,yes,no
W,W,F,F,Masters,Bachelors,3-6,3-6,low,high,yes,yes
B,W,M,F,Highschool,Bachelors,<3,3-6,low,high,no,no
W,W,F,M,Bachelors,Masters,3-6,>6,low,low,no,yes
B,W,F,F,Highschool,Masters,<3,>6,high,medium,no,yes
B,W,F,F,Highschool,Highschool,3-6,<3,medium,medium,no,no
W,W,M,M,Masters,Bachelors,<3,>6,medium,high,yes,no
W,W,F,M,Masters,Highschool,<3,3-6,high,medium,yes,no
W,W,F,F,Masters,Masters,<3,<3,medium,high,no,yes
W,W,M,F,Masters,Highschool,>6,3-6,low,high,yes,no
W,W,M,F,Masters,Bachelors,>6,<3,low,low,yes,yes
B,W,M,M,Bachelors,Bachelors,3-6,>6,low,medium,no,no
W,W,F,M,Masters,Bachelors,>6,3-6,high,medium,yes,yes
W,W,F,F,Masters,Highschool,<3,>6,low,high,yes,no
B,W,F,F,Highschool,Highschool,3-6,<3,low,low,no,yes
W,W,F,M,Highschool,Highschool,<3,3-6,low,medium,yes,no
B,W,F,F,Highschool,Bachelors,3-6,<3,medium,low,no,no
B,W,F,M,Highschool,Bachelors,<3,3-6,high,low,no,no
W,W,M,F,Bachelors,Masters,3-6,<3,medium,low,yes,no
B,W,M,M,Highschool,Highschool,<3,<3,medium,medium,no,no
W,W,M,M,Bachelors,Bachelors,<3,3-6,low,medium,yes,yes
W,W,F,F,Masters,Masters,3-6,3-6,medium,medium,yes,no
W,W,M,M,Masters,Bachelors,3-6,>6,high,high,yes,no
B,W,M,F,Highschool,Bachelors,<3,>6,high,low,no,yes
W,W,F,F,Masters,Bachelors,<3,>6,medium,medium,yes,yes
W,W,F,F,Highschool,Highschool,3-6,<3,low,high,yes,yes
W,W,M,F,Bachelors,Bachelors,>6,3-6,low,low,no,yes
B,W,F,M,Masters,Bachelors,3-6,>6,high,high,yes,yes
W,W,F,F,Masters,Bachelors,3-6,3-6,low,medium,yes,yes
W,W,M,F,Masters,Bachelors,3-6,<3,high,medium,yes,no
B,W,M,F,Highschool,Bachelors,<3,>6,medium,high,no,no
B,W,F,F,Highschool,Highschool,<3,3-6,high,high,no,yes
W,W,M,M,Masters,Bachelors,<3,3-6,low,medium,yes,no
B,W,F,M,Highschool,Masters,3-6,>6,low,high,no,no
W,W,F,F,Highschool,Bachelors,>6,3-6,medium,low,yes,yes
W,W,M,M,Bachelors,Bachelors,3-6,>6,medium,low,no,yes
B,W,M,M,Highschool,Masters,3-6,>6,high,medium,yes,no
W,W,M,F,Masters,Bachelors,3-6,3-6,low,high,yes,yes
B,W,M,F,Highschool,Bachelors,3-6,3-6,high,low,no,yes
W,W,F,F,Highschool,Bachelors,<3,<3,medium,low,yes,no
W,W,F,M,Masters,Masters,>6,>6,high,medium,yes,no
B,W,M,F,Bachelors,Highschool,3-6,3-6,high,medium,yes,no
W,W,M,M,Masters,Bachelors,3-6,>6,medium,high,yes,yes
W,W,F,F,Bachelors,Masters,3-6,>6,high,high,yes,yes
B,W,F,F,Bachelors,Bachelors,>6,>6,high,high,yes,yes
W,W,M,M,Bachelors,Highschool,<3,3-6,high,low,yes,no
B,W,M,F,Highschool,Bachelors,3-6,<3,medium,high,yes,no
B,W,F,M,Highschool,Bachelors,3-6,>6,medium,medium,no,yes
W,W,M,M,Masters,Bachelors,>6,>6,medium,high,yes,yes
W,W,M,F,Bachelors,Bachelors,3-6,>6,high,medium,yes,yes
W,W,M,F,Masters,Highschool,3-6,>6,medium,high,yes,yes
W,W,M,F,Masters,Bachelors,3-6,3-6,medium,high,no,yes
W,W,M,M,Bachelors,Bachelors,<3,3-6,medium,high,yes,yes
W,W,M,F,Masters,Masters,3-6,<3,medium,low,yes,yes
W,W,F,M,Masters,Bachelors,>6,>6,low,low,yes,no
B,W,F,F,Highschool,Masters,3-6,>6,medium,low,no,yes
B,W,F,F,Bachelors,Bachelors,<3,>6,medium,low,no,yes
W,W,F,M,Highschool,Bachelors,<3,3-6,low,low,yes,no
W,W,F,M,Bachelors,Highschool,<3,<3,low,medium,no,no
W,W,M,M,Masters,Masters,3-6,3-6,low,high,no,yes
B,W,F,F,Highschool,Bachelors,<3,3-6,medium,low,no,yes
B,W,F,F,Masters,Highschool,<3,>6,high,medium,yes,no
W,W,M,M,Bachelors,Masters,<3,3-6,medium,low,yes,yes
B,W,M,M,Highschool,Bachelors,3-6,>6,high,medium,no,yes
B,W,M,F,Highschool,Masters,3-6,3-6,high,high,no,no
W,W,F,M,Bachelors,Bachelors,>6,<3,low,medium,yes,no
W,W,F,M,Masters,Bachelors,3-6,>6,low,low,yes,no
W,W,F,F,Masters,Bachelors,>6,<3,low,medium,yes,yes
W,W,M,F,Bachelors,Bachelors,>6,>6,high,low,no,yes
B,W,M,M,Highschool,Bachelors,<3,<3,high,medium,no,yes
W,W,M,M,Masters,Bachelors,<3,>6,high,medium,no,no
W,W,F,F,Masters,Bachelors,3-6,3-6,high,low,yes,no
W,W,F,M,Masters,Masters,<3,3-6,medium,high,yes,no
B,W,F,M,Masters,Bachelors,<3,>6,high,high,yes,yes
W,W,M,F,Masters,Bachelors,3-6,3-6,high,low,yes,no
W,W,M,M,Masters,Masters,<3,3-6,low,high,yes,yes
B,W,M,M,Highschool,Bachelors,3-6,>6,high,medium,no,yes
W,W,F,F,Masters,Bachelors,>6,>6,high,low,yes,yes
B,W,F,M,Highschool,Bachelors,3-6,>6,medium,high,yes,no
B,W,M,M,Bachelors,Highschool,<3,3-6,low,medium,yes,no
B,W,F,M,Highschool,Bachelors,<3,<3,low,medium,yes,yes
W,W,M,M,Highschool,Bachelors,<3,3-6,low,medium,yes,no
B,W,F,M,Highschool,Masters,<3,<3,medium,low,no,yes
W,W,M,M,Masters,Bachelors,<3,>6,low,medium,yes,yes
B,W,M,M,Masters,Highschool,3-6,>6,low,low,yes,no
W,W,F,M,Masters,Bachelors,<3,3-6,low,high,yes,no
B,W,F,F,Masters,Bachelors,3-6,>6,low,medium,yes,yes
W,W,M,F,Masters,Bachelors,<3,<3,medium,high,no,yes
B,W,M,M,Bachelors,Highschool,3-6,<3,medium,high,yes,no
W,W,F,M,Masters,Bachelors,3-6,3-6,medium,high,no,no
W,W,M,M,Masters,Bachelors,3-6,3-6,high,high,yes,yes
B,W,F,F,Bachelors,Bachelors,<3,>6,medium,medium,no,no
B,W,M,M,Highschool,Bachelors,<3,3-6,high,low,no,yes
B,W,F,F,Masters,Masters,3-6,<3,medium,high,yes,no
W,W,F,F,Highschool,Bachelors,3-6,>6,high,low,no,no
W,W,M,M,Masters,Bachelors,3-6,>6,medium,medium,yes,no
B,W,F,F,Highschool,Bachelors,<3,<3,low,high,no,no
W,W,M,F,Masters,Bachelors,3-6,>6,medium,low,yes,yes
W,W,M,M,Highschool,Bachelors,<3,>6,low,high,yes,no
W,W,M,F,Masters,Bachelors,>6,3-6,low,low,yes,yes
B,W,F,F,Highschool,Highschool,<3,3-6,low,medium,no,yes
W,W,M,F,Highschool,Masters,>6,<3,medium,medium,yes,yes
W,W,M,M,Bachelors,Bachelors,3-6,<3,low,low,yes,yes
B,W,M,F,Highschool,Bachelors,<3,>6,high,medium,no,yes
W,W,F,M,Masters,Bachelors,>6,3-6,low,medium,yes,yes
W,W,F,F,Masters,Highschool,3-6,<3,medium,high,yes,yes
W,W,M,M,Masters,Bachelors,3-6,>6,high,medium,yes,yes
W,W,F,M,Masters,Masters,3-6,>6,medium,high,no,no
W,W,F,M,Masters,Highschool,>6,>6,low,low,yes,no
B,W,M,F,Highschool,Bachelors,<3,>6,high,medium,no,yes
W,W,M,M,Masters,Bachelors,>6,>6,medium,low,no,yes
B,W,F,M,Masters,Masters,3-6,3-6,medium,high,no,yes
B,W,M,M,Highschool,Masters,<3,<3,high,medium,no,yes
B,W,F,M,Bachelors,Bachelors,3-6,>6,low,low,no,yes
B,W,M,M,Highschool,Bachelors,3-6,3-6,high,low,yes,yes
B,W,M,M,Highschool,Bachelors,<3,>6,low,medium,no,no
B,W,M,M,Bachelors,Bachelors,>6,3-6,high,medium,no,yes
W,W,F,F,Masters,Bachelors,3-6,<3,medium,high,yes,yes
W,W,M,M,Highschool,Masters,<3,<3,high,low,no,yes
W,W,F,F,Masters,Highschool,<3,<3,high,high,yes,yes
B,W,F,F,Bachelors,Bachelors,3-6,>6,medium,medium,yes,no
W,W,M,F,Masters,Highschool,<3,>6,low,medium,yes,yes
W,W,M,M,Masters,Bachelors,>6,3-6,medium,high,no,no
W,W,M,M,Bachelors,Highschool,3-6,3-6,high,high,yes,yes
W,W,M,M,Masters,Highschool,<3,>6,medium,high,no,no
B,W,F,F,Bachelors,Masters,3-6,<3,low,medium,no,no
W,W,F,F,Bachelors,Bachelors,<3,<3,medium,medium,yes,no
W,W,M,M,Masters,Bachelors,>6,3-6,low,high,yes,yes
B,W,F,M,Highschool,Bachelors,>6,>6,high,medium,no,yes
W,W,M,F,Masters,Highschool,>6,<3,high,low,no,no
W,W,F,M,Masters,Bachelors,3-6,3-6,low,high,no,no
W,W,M,M,Bachelors,Masters,>6,<3,medium,low,no,no
B,W,F,M,Bachelors,Masters,>6,3-6,high,high,no,yes
B,W,F,M,Highschool,Highschool,<3,<3,low,high,no,yes
B,W,M,F,Highschool,Bachelors,<3,3-6,medium,medium,no,yes
W,W,F,F,Masters,Bachelors,<3,3-6,high,high,yes,no
B,W,M,M,Highschool,Highschool,3-6,>6,medium,low,no,no
W,W,F,M,Masters,Bachelors,3-6,>6,low,medium,no,yes
B,W,F,F,Bachelors,Bachelors,3-6,<3,medium,medium,yes,yes
W,W,F,F,Masters,Bachelors,3-6,>6,low,high,yes,yes
W,W,M,F,Masters,Masters,<3,>6,high,low,yes,yes
B,W,F,F,Highschool,Bachelors,<3,<3,high,high,yes,yes
W,W,F,F,Masters,Masters,>6,<3,low,low,yes,no
B,W,F,F,Bachelors,Bachelors,>6,<3,medium,high,no,yes
W,W,F,F,Bachelors,Masters,<3,3-6,low,high,yes,yes
B,W,M,M,Highschool,Masters,>6,<3,low,high,no,yes
B,W,M,M,Highschool,Bachelors,>6,3-6,low,high,yes,yes
W,W,M,F,Masters,Bachelors,3-6,>6,high,low,yes,yes
B,W,M,F,Highschool,Highschool,<3,<3,high,low,no,no
W,W,M,M,Masters,Highschool,<3,>6,medium,low,yes,no
W,W,F,F,Masters,Bachelors,3-6,3-6,low,high,yes,yes
