Feature A (i)	Feature A (i)-noFeature_C_(-i)	Feature B (2i)	Feature B (2i)-noFeature_C_(-i)	Feature C (-i)	Feature C (-i)-noFeature_C_(-i)	Constant Feature	Constant Feature-noFeature_C_(-i)	Random Feature	Random Feature-noFeature_C_(-i)	Outcome	Outcome-noFeature_C_(-i)
1900	2891	3800	5782	-1900	-1212	1	1	0.7732080766316596	0.7588862688703896	A	A
1903	2891	3806	5782	-1903	-1212	1	1	0.5074907927681844	0.4824381759363401	A	A
1904	2891	3808	5782	-1904	-1212	1	1	0.8751392183256989	0.8285385294664941	A	A
1905	2897	3810	5794	-1905	-1212	1	1	0.38487249426010217	0.3645500084328399	A	A
1909	2897	3818	5794	-1909	-1212	1	1	0.06520632851535646	0.062353353740606354	A	A
1911	2903	3822	5806	-1911	-1212	1	1	0.20446388156419426	0.22041899908405316	A	A
1913	2903	3826	5806	-1913	-1212	1	1	0.6986515513445546	0.6827160525262556	A	A
1917	2908	3834	5816	-1917	-1212	1	1	0.5998910984211084	0.582537627789942	A	A
1918	2908	3836	5816	-1918	-1212	1	1	0.4389698930404017	0.41618841333222234	A	A
1920	2908	3840	5816	-1920	-1212	1	1	0.3075864887471417	0.3154430469533932	A	A
1922	2914	3844	5828	-1922	-1212	1	1	0.5187659563896301	0.5200480604633302	A	A
1931	2920	3862	5840	-1931	-1212	1	1	0.08909021427934749	0.09631320509214214	A	A
1937	2926	3874	5852	-1937	-1212	1	1	0.2888286948180654	0.27476148850200977	A	A
1939	2926	3878	5852	-1939	-1212	1	1	0.9125805712019964	0.8839101610867179	A	A
1940	2932	3880	5864	-1940	-1212	1	1	0.49895569675455953	0.47641504446250105	A	A
1945	2937	3890	5874	-1945	-1212	1	1	0.6467697471738271	0.6336483877439453	A	A
1948	2937	3896	5874	-1948	-1212	1	1	0.30887378737929305	0.3154430469533932	A	A
1951	2943	3902	5886	-1951	-1212	1	1	0.6032997670649357	0.5979874343679255	A	A
1952	2943	3904	5886	-1952	-1212	1	1	0.5147838819366183	0.4982817158659174	A	A
1953	2943	3906	5886	-1953	-1212	1	1	0.9832936469896746	0.985744768217679	A	A
1957	2949	3914	5898	-1957	-1212	1	1	0.20809934162587995	0.22041899908405316	A	A
1961	2949	3922	5898	-1961	-1212	1	1	0.7327006526015837	0.7025024851846564	A	A
1965	2955	3930	5910	-1965	-1212	1	1	0.8787550455894706	0.8285385294664941	A	A
1966	2955	3932	5910	-1966	-1212	1	1	0.09975325794366108	0.09631320509214214	A	A
1967	2955	3934	5910	-1967	-1212	1	1	0.7501727725024829	0.7191643211606201	A	A
1968	2955	3936	5910	-1968	-1212	1	1	0.6934654569499832	0.6827160525262556	A	A
1970	2961	3940	5922	-1970	-1212	1	1	0.05835553566607721	0.040223196869210165	A	A
1974	2966	3948	5932	-1974	-1212	1	1	0.3384025412063525	0.3328687627974606	A	A
1979	2966	3958	5932	-1979	-1212	1	1	0.8535183019211477	0.8055533991471695	A	A
1980	2972	3960	5944	-1980	-1212	1	1	0.47730201062974653	0.45243048498421456	A	A
1981	2972	3962	5944	-1981	-1212	1	1	0.2449174497623824	0.25854697252696457	A	A
1982	2972	3964	5944	-1982	-1212	1	1	0.6965039059969794	0.6827160525262556	A	A
1984	2972	3968	5944	-1984	-1212	1	1	0.5013742152843758	0.47641504446250105	A	A
1985	2972	3970	5944	-1985	-1212	1	1	0.5155758123684047	0.5200480604633302	A	A
1988	2978	3976	5956	-1988	-1212	1	1	0.9289143321245649	0.9201280995449436	A	A
1991	2978	3982	5956	-1991	-1212	1	1	0.43462727348911856	0.41618841333222234	A	A
1992	2984	3984	5968	-1992	-1212	1	1	0.502613743720023	0.4824381759363401	A	A
1999	2989	3998	5978	-1999	-1212	1	1	0.22732652220756266	0.23168224529179748	A	A
2001	2989	4002	5978	-2001	-1212	1	1	0.8553539169947036	0.8055533991471695	A	A
2002	2989	4004	5978	-2002	-1212	1	1	0.1902134519880243	0.18513987923672703	A	A
2004	2995	4008	5990	-2004	-1212	1	1	0.5096409829976799	0.4824381759363401	A	A
2006	2995	4012	5990	-2006	-1212	1	1	0.4120143225959353	0.3976380625702378	A	A
2007	2995	4014	5990	-2007	-1212	1	1	0.8437653845408781	0.7922948059168434	A	A
2013	3001	4026	6002	-2013	-1212	1	1	0.22483786986433585	0.23168224529179748	A	A
2016	3007	4032	6014	-2016	-1212	1	1	0.9758172364123914	0.9708335991200716	A	A
2017	3007	4034	6014	-2017	-1212	1	1	0.06104087149746973	0.040223196869210165	A	A
2023	3013	4046	6026	-2023	-1212	1	1	0.35939098444257567	0.350578695746261	A	A
2024	3013	4048	6026	-2024	-1212	1	1	0.14626077371673263	0.1520372454774349	A	A
2025	3013	4050	6026	-2025	-1212	1	1	0.33779350194187674	0.3328687627974606	A	A
2027	3018	4054	6036	-2027	-1212	1	1	0.6228529745303686	0.6131793130866995	A	A
2028	3018	4056	6036	-2028	-1212	1	1	0.5112695773898153	0.4982817158659174	A	A
2032	3024	4064	6048	-2032	-1212	1	1	0.0880040037257026	0.07522454865778105	A	A
2033	3024	4066	6048	-2033	-1212	1	1	0.8063689302950869	0.7741845154294321	A	A
2035	3024	4070	6048	-2035	-1212	1	1	0.9105620515883951	0.8839101610867179	A	A
2043	2700	4086	5400	-2043	-1212	1	1	0.0312869238047353	0.024809866852586904	A	A
2045	2706	4090	5412	-2045	-1212	1	1	0.39771175469200426	0.4283262058113855	A	A
2046	2706	4092	5412	-2046	-1212	1	1	0.8949072207769406	0.8839101610867179	A	A
2050	2712	4100	5424	-2050	-1212	1	1	0.7334657157512747	0.7588862688703896	A	A
2052	2712	4104	5424	-2052	-1212	1	1	0.3800479108926026	0.3976380625702378	A	A
2056	2717	4112	5434	-2056	-1212	1	1	0.7758796786414458	0.7922948059168434	A	A
2058	2717	4116	5434	-2058	-1212	1	1	0.10338266942078755	0.09631320509214214	A	A
2062	2723	4124	5446	-2062	-1212	1	1	0.7058800721219403	0.7191643211606201	A	A
2066	2723	4132	5446	-2066	-1212	1	1	0.712633991843905	0.7191643211606201	A	A
2070	2729	4140	5458	-2070	-1212	1	1	0.03658949110517573	0.040223196869210165	A	A
2073	2735	4146	5470	-2073	-1212	1	1	0.28244912203613237	0.27476148850200977	A	A
2076	2735	4152	5470	-2076	-1212	1	1	0.7148294849777915	0.7191643211606201	A	A
2077	2735	4154	5470	-2077	-1212	1	1	0.20608685228723544	0.20132664405148248	A	A
2078	2735	4156	5470	-2078	-1212	1	1	0.19792417394811868	0.18513987923672703	A	A
2081	2741	4162	5482	-2081	-1212	1	1	0.354523890217048	0.350578695746261	A	A
2082	2741	4164	5482	-2082	-1212	1	1	0.020955578622196436	0.024809866852586904	A	A
2085	2746	4170	5492	-2085	-1212	1	1	0.35465882688631967	0.3645500084328399	A	A
2086	2746	4172	5492	-2086	-1212	1	1	0.05338016257014755	0.062353353740606354	A	A
2087	2746	4174	5492	-2087	-1212	1	1	0.612004553949978	0.5979874343679255	A	A
2088	2746	4176	5492	-2088	-1212	1	1	0.19824053236436867	0.20132664405148248	A	A
2089	2746	4178	5492	-2089	-1212	1	1	0.3817172243733614	0.41618841333222234	A	A
2091	2752	4182	5504	-2091	-1212	1	1	0.6130999048708213	0.5979874343679255	A	A
2100	2758	4200	5516	-2100	-1212	1	1	0.12303663006184484	0.1179020570763114	A	A
2101	2758	4202	5516	-2101	-1212	1	1	0.9749076821864765	0.9708335991200716	A	A
2102	2764	4204	5528	-2102	-1212	1	1	0.4267593722208304	0.47641504446250105	A	A
2106	2764	4212	5528	-2106	-1212	1	1	0.40541708153706335	0.45243048498421456	A	A
2108	2769	4216	5538	-2108	-1212	1	1	0.018334073082827196	0.008592140326145858	A	A
2110	2769	4220	5538	-2110	-1212	1	1	0.22356876177805607	0.22041899908405316	A	A
2111	2769	4222	5538	-2111	-1212	1	1	0.6674079866036278	0.6618908494241688	A	A
2112	2769	4224	5538	-2112	-1212	1	1	0.9493761714095447	0.940938327787818	A	A
2114	2775	4228	5550	-2114	-1212	1	1	0.5581924053963743	0.5687152792565979	A	A
2120	2781	4240	5562	-2120	-1212	1	1	0.9761474057149245	0.9708335991200716	A	A
2121	2781	4242	5562	-2121	-1212	1	1	0.5221704761822162	0.5687152792565979	A	A
2126	2787	4252	5574	-2126	-1212	1	1	0.6829689761942943	0.6827160525262556	A	A
2127	2787	4254	5574	-2127	-1212	1	1	0.6402144127472182	0.6482322739693153	A	A
2131	2793	4262	5586	-2131	-1212	1	1	0.18012978850917527	0.18513987923672703	A	A
2133	2793	4266	5586	-2133	-1212	1	1	0.6528317406942203	0.6618908494241688	A	A
2134	2793	4268	5586	-2134	-1212	1	1	0.3441136592108366	0.350578695746261	A	A
2137	2798	4274	5596	-2137	-1212	1	1	0.6152390794100236	0.6131793130866995	A	A
2138	2798	4276	5596	-2138	-1212	1	1	0.5053080051228691	0.5364676566761873	A	A
2147	2804	4294	5608	-2147	-1212	1	1	0.7358425197236385	0.7588862688703896	A	A
2152	2810	4304	5620	-2152	-1212	1	1	0.4521837667711399	0.4824381759363401	A	A
2154	2816	4308	5632	-2154	-1212	1	1	0.3089625616505892	0.2944125893639117	A	A
2156	2816	4312	5632	-2156	-1212	1	1	0.9636421675108663	0.9550538593999985	A	A
2157	2816	4314	5632	-2157	-1212	1	1	0.9700270325730731	0.9550538593999985	A	A
2161	2822	4322	5644	-2161	-1212	1	1	0.10618963538207415	0.09631320509214214	A	A
2162	2822	4324	5644	-2162	-1212	1	1	0.7567443784516563	0.7741845154294321	A	A
2163	2822	4326	5644	-2163	-1212	1	1	0.6882992868068454	0.6827160525262556	A	A
2167	2827	4334	5654	-2167	-1212	1	1	0.32577602708423503	0.3328687627974606	A	A
2171	2833	4342	5666	-2171	-1212	1	1	0.42004075829873055	0.45243048498421456	A	A
2177	2839	4354	5678	-2177	-1212	1	1	0.936523655443973	0.9201280995449436	A	A
2178	2839	4356	5678	-2178	-1212	1	1	0.16221267341061585	0.1642650866458556	A	A
2179	2839	4358	5678	-2179	-1212	1	1	0.9578161605223605	0.940938327787818	A	A
2180	2839	4360	5678	-2180	-1212	1	1	0.6485171684920292	0.6482322739693153	A	A
2181	2839	4362	5678	-2181	-1212	1	1	0.7687505411078538	0.7922948059168434	A	A
2182	2839	4364	5678	-2182	-1212	1	1	0.7052429590032706	0.7025024851846564	A	A
2183	2845	4366	5690	-2183	-1212	1	1	0.7071248940825647	0.7191643211606201	A	A
2185	2845	4370	5690	-2185	-1212	1	1	0.21249936753099974	0.20132664405148248	A	A
2188	2845	4376	5690	-2188	-1212	1	1	0.19804014007318038	0.20132664405148248	A	A
2193	2851	4386	5702	-2193	-1212	1	1	0.19524639903549834	0.18513987923672703	A	A
2194	2856	4388	5712	-2194	-1212	1	1	0.996522898868628	0.985744768217679	A	A
2199	2856	4398	5712	-2199	-1212	1	1	0.37005222139549276	0.3837438429114993	A	A
2200	2862	4400	5724	-2200	-1212	1	1	0.6345282625417757	0.6336483877439453	A	A
2201	2862	4402	5724	-2201	-1212	1	1	0.3280525023202405	0.3328687627974606	A	A
2205	2862	4410	5724	-2205	-1212	1	1	0.1166813646535877	0.1179020570763114	A	A
2210	2868	4420	5736	-2210	-1212	1	1	0.40241761391988773	0.4283262058113855	A	A
2216	2874	4432	5748	-2216	-1212	1	1	0.3499932687128001	0.350578695746261	A	A
2225	2885	4450	5770	-2225	-1212	1	1	0.3088390646050043	0.2944125893639117	A	A
2234	2891	4468	5782	-2234	-1212	1	1	0.36910751947257503	0.3837438429114993	A	A
2235	2897	4470	5794	-2235	-1212	1	1	0.8482906865467086	0.8285385294664941	A	A
2240	2897	4480	5794	-2240	-1212	1	1	0.47287112484834615	0.4982817158659174	A	A
2241	2903	4482	5806	-2241	-1212	1	1	0.9747138423551656	0.9708335991200716	A	A
2242	2903	4484	5806	-2242	-1212	1	1	0.6536133430144079	0.6618908494241688	A	A
2244	2903	4488	5806	-2244	-1212	1	1	0.35463063115404114	0.3645500084328399	A	A
2248	2908	4496	5816	-2248	-1212	1	1	0.32808817773979904	0.3328687627974606	A	A
2250	2908	4500	5816	-2250	-1212	1	1	0.028292239575584466	0.024809866852586904	A	A
2253	2914	4506	5828	-2253	-1212	1	1	0.2601840033472469	0.25854697252696457	A	A
2254	2914	4508	5828	-2254	-1212	1	1	0.49572839561443716	0.5200480604633302	A	A
2255	2914	4510	5828	-2255	-1212	1	1	0.5127436345094188	0.5468257337781519	A	A
2256	2914	4512	5828	-2256	-1212	1	1	0.028922219302059404	0.024809866852586904	A	A
2267	2926	4534	5852	-2267	-1212	1	1	0.04608642180938771	0.040223196869210165	A	A
2268	2926	4536	5852	-2268	-1212	1	1	0.3895671229806068	0.41618841333222234	A	A
2269	2926	4538	5852	-2269	-1212	1	1	0.1747370001387315	0.18513987923672703	A	A
2270	2932	4540	5864	-2270	-1212	1	1	0.8695160449044587	0.8710826164665462	A	A
2272	2932	4544	5864	-2272	-1212	1	1	0.7198926716384558	0.7386408776802375	A	A
2273	2932	4546	5864	-2273	-1212	1	1	0.518673311922249	0.5468257337781519	A	A
2278	2937	4556	5874	-2278	-1212	1	1	0.26680517596274944	0.25854697252696457	A	A
2280	2937	4560	5874	-2280	-1212	1	1	0.620514097634409	0.6336483877439453	A	A
2285	2943	4570	5886	-2285	-1212	1	1	0.5105184771179293	0.5468257337781519	A	A
2296	2955	4592	5910	-2296	-1212	1	1	0.9665146302391457	0.9550538593999985	A	A
2299	2961	4598	5922	-2299	-1212	1	1	0.43108882182641917	0.47641504446250105	A	A
2302	2961	4604	5922	-2302	-1212	1	1	0.06973797867953613	0.07522454865778105	A	A
2303	2961	4606	5922	-2303	-1212	1	1	0.2965160856441176	0.2944125893639117	A	A
2304	2966	4608	5932	-2304	-1212	1	1	0.6023877732208555	0.5979874343679255	A	A
2306	2966	4612	5932	-2306	-1212	1	1	0.48447964172583835	0.5200480604633302	A	A
2308	2966	4616	5932	-2308	-1212	1	1	0.0340154027983991	0.024809866852586904	A	A
2309	2966	4618	5932	-2309	-1212	1	1	0.05742712868123301	0.062353353740606354	A	A
2314	2972	4628	5944	-2314	-1212	1	1	0.865712696442094	0.8457692599892734	A	A
2318	2978	4636	5956	-2318	-1212	1	1	0.47873833018348566	0.4982817158659174	A	A
2325	2984	4650	5968	-2325	-1212	1	1	0.3154430469533932	0.3154430469533932	A	A
2330	2989	4660	5978	-2330	-1212	1	1	0.372600812028543	0.3976380625702378	A	A
2331	2989	4662	5978	-2331	-1212	1	1	0.3169296140015879	0.3154430469533932	A	A
2332	2989	4664	5978	-2332	-1212	1	1	0.47038190487882414	0.4982817158659174	A	A
2333	2995	4666	5990	-2333	-1212	1	1	0.9649130502984313	0.9550538593999985	A	A
2334	2995	4668	5990	-2334	-1212	1	1	0.36652192721588106	0.3837438429114993	A	A
2335	2995	4670	5990	-2335	-1212	1	1	0.3182648616241628	0.3154430469533932	A	A
2341	3001	4682	6002	-2341	-1212	1	1	0.5900165795953535	0.582537627789942	A	A
2344	3001	4688	6002	-2344	-1212	1	1	0.4531858568625773	0.4982817158659174	A	A
2346	3007	4692	6014	-2346	-1212	1	1	0.7699436007873152	0.7922948059168434	A	A
2347	3007	4694	6014	-2347	-1212	1	1	0.28208168514396326	0.27476148850200977	A	A
2348	3007	4696	6014	-2348	-1212	1	1	0.6160356903510849	0.6131793130866995	A	A
2349	3007	4698	6014	-2349	-1212	1	1	0.7163868332570547	0.7191643211606201	A	A
2353	3013	4706	6026	-2353	-1212	1	1	0.11559078266672629	0.1179020570763114	A	A
2354	3013	4708	6026	-2354	-1212	1	1	0.2678009163647116	0.25854697252696457	A	A
2356	3018	4712	6036	-2356	-1212	1	1	0.07290586614001149	0.07522454865778105	A	A
2357	3018	4714	6036	-2357	-1212	1	1	0.16136576392722024	0.1642650866458556	A	A
2366	3024	4732	6048	-2366	-1212	1	1	0.42046771373879566	0.45243048498421456	A	A
2372	2700	4744	5400	-2372	-1212	1	1	0.5744314001558449	0.5687152792565979	A	A
2374	2706	4748	5412	-2374	-1212	1	1	0.533800378935939	0.5364676566761873	A	A
2376	2706	4752	5412	-2376	-1212	1	1	0.4019431244499371	0.3645500084328399	A	A
2382	2712	4764	5424	-2382	-1212	1	1	0.5439424940758666	0.5468257337781519	A	A
2383	2712	4766	5424	-2383	-1212	1	1	0.45548864802211086	0.4283262058113855	A	A
2384	2712	4768	5424	-2384	-1212	1	1	0.21951573057233498	0.18513987923672703	A	A
2386	2717	4772	5434	-2386	-1212	1	1	0.21895356266195087	0.18513987923672703	A	A
2391	2723	4782	5446	-2391	-1212	1	1	0.5433257981157731	0.5468257337781519	A	A
2394	2723	4788	5446	-2394	-1212	1	1	0.7388850834237064	0.7386408776802375	A	A
2395	2723	4790	5446	-2395	-1212	1	1	0.6103122571323334	0.6131793130866995	A	A
2397	2729	4794	5458	-2397	-1212	1	1	0.7585005211684226	0.7588862688703896	A	A
2399	2729	4798	5458	-2399	-1212	1	1	0.5998597181548605	0.5979874343679255	A	A
2406	2735	4812	5470	-2406	-1212	1	1	0.550589755450354	0.5468257337781519	A	A
2410	2741	4820	5482	-2410	-1212	1	1	0.1402634013279782	0.1179020570763114	A	A
2414	2746	4828	5492	-2414	-1212	1	1	0.01401207486535816	0.008592140326145858	A	A
2418	2746	4836	5492	-2418	-1212	1	1	0.38109857737481256	0.350578695746261	A	A
2425	2752	4850	5504	-2425	-1212	1	1	0.7727866514909925	0.7741845154294321	A	A
2426	2758	4852	5516	-2426	-1212	1	1	0.8788835695849824	0.8839101610867179	A	A
2430	2758	4860	5516	-2430	-1212	1	1	0.4923823957867821	0.4824381759363401	A	A
2433	2764	4866	5528	-2433	-1212	1	1	0.7395608564227873	0.7386408776802375	A	A
2439	2769	4878	5538	-2439	-1212	1	1	0.7037152611276413	0.7025024851846564	A	A
2443	2775	4886	5550	-2443	-1212	1	1	0.39355000942921325	0.3645500084328399	A	A
2444	2775	4888	5550	-2444	-1212	1	1	0.5143399812434879	0.4982817158659174	A	A
2447	2775	4894	5550	-2447	-1212	1	1	0.63731825461956	0.6336483877439453	A	A
2448	2775	4896	5550	-2448	-1212	1	1	0.4840484003166635	0.47641504446250105	A	A
2449	2781	4898	5562	-2449	-1212	1	1	0.012959269488449388	0.008592140326145858	A	A
2452	2781	4904	5562	-2452	-1212	1	1	0.2716334995050571	0.23168224529179748	A	A
2454	2781	4908	5562	-2454	-1212	1	1	0.38456677260483607	0.350578695746261	A	A
2458	2787	4916	5574	-2458	-1212	1	1	0.699837451626885	0.6827160525262556	A	A
2471	2798	4942	5596	-2471	-1212	1	1	0.6343039000779876	0.6336483877439453	A	A
2474	2804	4948	5608	-2474	-1212	1	1	0.431396299682252	0.3976380625702378	A	A
2478	2810	4956	5620	-2478	-1212	1	1	0.6421774121431184	0.6482322739693153	A	A
2484	2816	4968	5632	-2484	-1212	1	1	0.49211483086776187	0.4824381759363401	A	A
2486	2816	4972	5632	-2486	-1212	1	1	0.5404889405222474	0.5468257337781519	A	A
2495	2827	4990	5654	-2495	-1212	1	1	0.1668012742954672	0.13575200988301828	A	A
2498	2827	4996	5654	-2498	-1212	1	1	0.9556298169924625	0.9550538593999985	A	A
2501	2833	5002	5666	-2501	-1212	1	1	0.16815587159573886	0.1520372454774349	A	A
2502	2833	5004	5666	-2502	-1212	1	1	0.7957322436214088	0.8055533991471695	A	A
2507	2839	5014	5678	-2507	-1212	1	1	0.9248799440313333	0.940938327787818	A	A
2508	2839	5016	5678	-2508	-1212	1	1	0.5368436790505414	0.5364676566761873	A	A
2509	2839	5018	5678	-2509	-1212	1	1	0.5336993725849173	0.5200480604633302	A	A
2510	2839	5020	5678	-2510	-1212	1	1	0.3793754571638981	0.350578695746261	A	A
2518	2845	5036	5690	-2518	-1212	1	1	0.5101158859464436	0.4982817158659174	A	A
2525	2856	5050	5712	-2525	-1212	1	1	0.4388589314668436	0.3976380625702378	A	A
2526	2856	5052	5712	-2526	-1212	1	1	0.6875972018007958	0.6827160525262556	A	A
2527	2856	5054	5712	-2527	-1212	1	1	0.6610533186069691	0.6618908494241688	A	A
2528	2856	5056	5712	-2528	-1212	1	1	0.13472378913785632	0.09631320509214214	A	A
2529	2856	5058	5712	-2529	-1212	1	1	0.7185098056820005	0.7191643211606201	A	A
2530	2862	5060	5724	-2530	-1212	1	1	0.24876433835960166	0.22041899908405316	A	A
2536	2868	5072	5736	-2536	-1212	1	1	0.5297103127576981	0.5200480604633302	A	A
2538	2868	5076	5736	-2538	-1212	1	1	0.12569059834687446	0.07522454865778105	A	A
2539	2868	5078	5736	-2539	-1212	1	1	0.7437774617672985	0.7588862688703896	A	A
2541	2868	5082	5736	-2541	-1212	1	1	0.6066178139782963	0.6131793130866995	A	A
2547	2879	5094	5758	-2547	-1212	1	1	0.3381624351363691	0.2944125893639117	A	A
2551	2879	5102	5758	-2551	-1212	1	1	0.5165139897870288	0.4982817158659174	A	A
2555	2885	5110	5770	-2555	-1212	1	1	0.6675387656342376	0.6618908494241688	A	A
2560	2891	5120	5782	-2560	-1212	1	1	0.24343617049608934	0.22041899908405316	A	A
2561	2891	5122	5782	-2561	-1212	1	1	0.3736980532574461	0.3328687627974606	A	A
2564	2891	5128	5782	-2564	-1212	1	1	0.7202163401789557	0.7191643211606201	A	A
2565	2897	5130	5794	-2565	-1212	1	1	0.4581322618983782	0.4283262058113855	A	A
2566	2897	5132	5794	-2566	-1212	1	1	0.8765027039576112	0.8839101610867179	A	A
2569	2897	5138	5794	-2569	-1212	1	1	0.588182585641356	0.5979874343679255	A	A
2576	2908	5152	5816	-2576	-1212	1	1	0.6865368730584025	0.6618908494241688	A	A
2578	2908	5156	5816	-2578	-1212	1	1	0.2337308036517125	0.20132664405148248	A	A
2585	2914	5170	5828	-2585	-1212	1	1	0.9257488026247249	0.940938327787818	A	A
2591	2920	5182	5840	-2591	-1212	1	1	0.962445345605316	0.9550538593999985	A	A
2592	2920	5184	5840	-2592	-1212	1	1	0.8300845316825715	0.8457692599892734	A	A
2593	2920	5186	5840	-2593	-1212	1	1	0.48389073235160185	0.47641504446250105	A	A
2604	2932	5208	5864	-2604	-1212	1	1	0.6403485791625139	0.6482322739693153	A	A
2610	2937	5220	5874	-2610	-1212	1	1	0.9790465074466663	0.985744768217679	A	A
2611	2943	5222	5886	-2611	-1212	1	1	0.3071853162048227	0.25854697252696457	A	A
2619	2949	5238	5898	-2619	-1212	1	1	0.5712996022262311	0.5687152792565979	A	A
2627	2955	5254	5910	-2627	-1212	1	1	0.08051149710684269	0.062353353740606354	A	A
2629	2961	5258	5922	-2629	-1212	1	1	0.16365119012537765	0.13575200988301828	A	A
2631	2961	5262	5922	-2631	-1212	1	1	0.1554025124723134	0.1179020570763114	A	A
2632	2961	5264	5922	-2632	-1212	1	1	0.9266842226852398	0.940938327787818	A	A
2636	2966	5272	5932	-2636	-1212	1	1	0.04253511179091729	0.024809866852586904	A	A
2637	2966	5274	5932	-2637	-1212	1	1	0.7077429671131786	0.7025024851846564	A	A
2639	2966	5278	5932	-2639	-1212	1	1	0.7365337689829003	0.7386408776802375	A	A
2646	2978	5292	5956	-2646	-1212	1	1	0.028015015477000138	0.024809866852586904	A	A
2647	2978	5294	5956	-2647	-1212	1	1	0.6549607743496783	0.6482322739693153	A	A
2650	2978	5300	5956	-2650	-1212	1	1	0.8984950826829937	0.9027350063094405	A	A
2657	2989	5314	5978	-2657	-1212	1	1	0.46023847410677976	0.4283262058113855	A	A
2658	2989	5316	5978	-2658	-1212	1	1	0.2127886115509836	0.18513987923672703	A	A
2660	2989	5320	5978	-2660	-1212	1	1	0.44871486758119217	0.41618841333222234	A	A
2661	2989	5322	5978	-2661	-1212	1	1	0.8133704136901264	0.8285385294664941	A	A
2666	2995	5332	5990	-2666	-1212	1	1	0.6387168445485756	0.6336483877439453	A	A
2667	2995	5334	5990	-2667	-1212	1	1	0.1804756786069064	0.1520372454774349	A	A
2669	3001	5338	6002	-2669	-1212	1	1	0.7783569296964757	0.7922948059168434	A	A
2672	3001	5344	6002	-2672	-1212	1	1	0.8819007915062904	0.9027350063094405	A	A
2673	3001	5346	6002	-2673	-1212	1	1	0.24658521416749646	0.22041899908405316	A	A
2676	3007	5352	6014	-2676	-1212	1	1	0.500505292807991	0.4824381759363401	A	A
2677	3007	5354	6014	-2677	-1212	1	1	0.7293762170614305	0.7191643211606201	A	A
2680	3007	5360	6014	-2680	-1212	1	1	0.1680945159208186	0.13575200988301828	A	A
2682	3013	5364	6026	-2682	-1212	1	1	0.5795657274251583	0.582537627789942	A	A
2683	3013	5366	6026	-2683	-1212	1	1	0.3037882265834255	0.25854697252696457	A	A
2684	3013	5368	6026	-2684	-1212	1	1	0.9031895261835828	0.9027350063094405	A	A
2702	2700	5404	5400	-2702	-1212	1	1	0.8012939799076298	0.8055533991471695	A	A
2703	2700	5406	5400	-2703	-1212	1	1	0.5701232000810401	0.5979874343679255	A	A
2704	2706	5408	5412	-2704	-1212	1	1	0.8275323960310688	0.8285385294664941	A	A
2709	2706	5418	5412	-2709	-1212	1	1	0.42412300668948666	0.45243048498421456	A	A
2716	2717	5432	5434	-2716	-1212	1	1	0.2723168131505349	0.2944125893639117	A	A
2718	2717	5436	5434	-2718	-1212	1	1	0.5140601191991092	0.5468257337781519	A	A
2720	2717	5440	5434	-2720	-1212	1	1	0.716947202664793	0.7386408776802375	A	A
2724	2723	5448	5446	-2724	-1212	1	1	0.539317515915914	0.582537627789942	A	A
2725	2723	5450	5446	-2725	-1212	1	1	0.15734528396828285	0.1520372454774349	A	A
2731	2729	5462	5458	-2731	-1212	1	1	0.7947567860166941	0.8055533991471695	A	A
2732	2729	5464	5458	-2732	-1212	1	1	0.6010801818297241	0.6336483877439453	A	A
2733	2735	5466	5470	-2733	-1212	1	1	0.3539703598964926	0.3837438429114993	A	A
2735	2735	5470	5470	-2735	-1212	1	1	0.4522080285165685	0.4982817158659174	A	A
2741	2741	5482	5482	-2741	-1212	1	1	0.6285168208261955	0.6618908494241688	A	A
2742	2741	5484	5482	-2742	-1212	1	1	0.054314839606805165	0.040223196869210165	A	A
2743	2741	5486	5482	-2743	-1212	1	1	0.8674547864236402	0.8710826164665462	A	A
2744	2746	5488	5492	-2744	-1212	1	1	0.5943882696375317	0.6336483877439453	A	A
2745	2746	5490	5492	-2745	-1212	1	1	0.9083097629854495	0.9201280995449436	A	A
2746	2746	5492	5492	-2746	-1212	1	1	0.3407350287120624	0.3645500084328399	A	A
2747	2746	5494	5492	-2747	-1212	1	1	0.9188010861780496	0.9201280995449436	A	A
2751	2752	5502	5504	-2751	-1212	1	1	0.5972293489941417	0.6336483877439453	A	A
2753	2752	5506	5504	-2753	-1212	1	1	0.19963457913657	0.22041899908405316	A	A
2755	2752	5510	5504	-2755	-1212	1	1	0.041779899630332795	0.040223196869210165	A	A
2758	2758	5516	5516	-2758	-1212	1	1	0.6328282483799814	0.6618908494241688	A	A
2759	2758	5518	5516	-2759	-1212	1	1	0.24710278287710197	0.27476148850200977	A	A
2761	2758	5522	5516	-2761	-1212	1	1	0.4521002010241132	0.4982817158659174	A	A
2764	2764	5528	5528	-2764	-1212	1	1	0.21813640466659445	0.23168224529179748	A	A
2766	2764	5532	5528	-2766	-1212	1	1	0.7608671979091871	0.7741845154294321	A	A
2768	2769	5536	5538	-2768	-1212	1	1	0.7258608699810172	0.7588862688703896	A	A
2773	2775	5546	5550	-2773	-1212	1	1	0.0717591336447323	0.07522454865778105	A	A
2774	2775	5548	5550	-2774	-1212	1	1	0.33038265722856075	0.350578695746261	A	A
2775	2775	5550	5550	-2775	-1212	1	1	0.9189631265258031	0.940938327787818	A	A
2780	2781	5560	5562	-2780	-1212	1	1	0.21043307902811736	0.22041899908405316	A	A
